device_model_id,Manufacturer,Equipment Type,Model Name,First Manufactured,Last Manufactured,OS,Firmware Version,Battery Life,Scanning Rate,VVPAT?,Paper Capacity,Certification Level,Security Risks,Notes/Misc.,Discontinued
11,DFM Associates,Electronic Poll Book,Vote Center App,1/1/2018,12/31/2024,Windows,,-1,0,FALSE,0,,"unencrypted data,default or weak passwords,unpatched or outdated operating system,insecure removable media,exposed network services",Battery life is -1 because runtime depends on the external tablet or laptop used. Scanning rate is 0 because the system does not scan ballots. Paper capacity is 0 because the application does not intake physical paper. Firmware version is N/A because the product is software-only and not tied to dedicated hardware.,FALSE
12,Danaher,DRE Push Button,Shouptronic 1242,1/1/1986,12/31/2004,Embedded DOS,3.2,4,0,FALSE,0,FEC VSS 2002,"insecure physical access,unencrypted data,unpatched or outdated operating system,lack of audit trail,default or weak passwords",Scanning rate is 0 because the machine is a DRE and does not scan. Paper capacity is 0 because it does not intake or print ballots.,TRUE
13,DemTech,Electronic Poll Book,Advocate Precinct,1/1/2016,12/31/2022,Windows 10,AdvocateOS 3.0,8,0,FALSE,0,,"default or weak passwords,insecure physical access,unencrypted data,unpatched or outdated operating system,lack of authentication",Scanning rate is 0 because this device does not scan. Paper capacity is 0 because it does not handle printed materials. Certification is Not Applicable as no federal or VVSG standard exists for poll books.,FALSE
14,DemTech,Electronic Poll Book,ePollTAB,1/1/2019,12/31/2023,Windows 10,AdvocateOS 4.1,10,0,FALSE,0,,"default or weak passwords,unencrypted data,insecure physical access,lack of authentication,unpatched or outdated operating system",Scanning rate is 0 because this is a poll book and does not scan. Paper capacity is 0 because the device handles no paper. Certification is Not Applicable as poll books are not federally certified.,FALSE
15,Democracy Live,BMD,OmniBallot Tablet,1/1/2015,12/31/2023,Windows 10,OmniBallotOS 2.3,8,0,TRUE,1,VVSG 1.0 (2005),"unencrypted data,default or weak passwords,insecure physical access,lack of audit trail", Scanning rate is 0 because it doesn’t scan ballots. ,FALSE
16,Democracy Live,Internet Voting,OmniBallot Online,1/1/2015,12/31/2023,Windows 10,OmniBallotOS 2.5,-1,0,FALSE,0,,"unencrypted data,insecure physical access,default or weak passwords,lack of audit trail,lack of authentication",Battery life is -1 because the device is a web-based platform and not tied to local hardware. Scanning rate is 0 because it does not scan. Paper capacity is 0 because the system is remote and does not handle physical ballots. Certification is Not Applicable because internet voting systems are not federally certified.,FALSE
17,Democracy Live,Remote Ballot Marking,Secure Select,1/1/2016,12/31/2023,Windows 10,SecureSelectOS 1.4,-1,0,FALSE,0,Not Applicable,"unencrypted data,default or weak passwords,insecure physical access,lack of audit trail,lack of authentication","Battery life is -1 because this is a web-based remote ballot marking platform, not a physical device. Scanning rate is 0 because it does not scan. Paper capacity is 0 because there is no ballot printing or physical interface. Certification is Not Applicable because remote ballot marking platforms are not federally certified.",FALSE
18,Dominion,BMD,ImageCast Precinct BMD,1/1/2015,12/31/2023,Linux,ImageCastOS 5.2,6,0,TRUE,1,VVSG 1.0 (2005),"unencrypted data,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 because device hardware supports 5–7 hours of operation. Scanning rate is 0 because it does not scan ballots. Paper capacity is 1 because it prints one marked ballot per session.,FALSE
19,Dominion,BMD,ImageCast X,1/1/2015,12/31/2023,Android,ImageCastXOS 4.7,10,0,TRUE,1,VVSG 1.0 (2005),"unencrypted data,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 10 based on standard rugged tablet hardware. Scanning rate is 0 because it does not scan. Paper capacity is 1 because it prints a marked ballot per voter.,FALSE
20,Dominion,Batch-Fed Optical Scanner,ImageCast Central,6/1/2012,12/31/2023,Linux,ImageCastCentralOS 4.5,-1,300,FALSE,1000,VVSG 1.0 (2005),"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is -1 because this is a high-throughput central scanner typically powered by wall AC and not battery-operated.,FALSE
21,Dominion,DRE Touchscreen,ImageCast X as DRE,7/1/2015,12/31/2023,Android,ImageCastXOS 4.9,10,0,FALSE,0,VVSG 1.0 (2005),"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 10 based on ruggedized tablet specs. Scanning rate is 0 because it does not scan ballots. Paper capacity is 0 because it does not print or handle paper.,FALSE
22,Dominion,Hand-Fed Optical Scanner,ImageCast Precinct,6/1/2015,12/31/2023,Linux,ImageCastPrecinctOS 5.0,6,71,FALSE,3000,VVSG 1.0 (2005),"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is 6 based on field reports from mobile precinct usage. Scanning rate is 71 based on Dominion documentation.,FALSE
23,Dominion,Hybrid Optical Scanner/BMD,ImageCast Evolution,6/1/2015,12/31/2023,Linux,ImageCastEvolutionOS 5.1,6,71,FALSE,3000,VVSG 1.0 (2005),"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is 6 based on field deployment references. Scanning rate is 71 as documented by Dominion.,FALSE
24,Dominion,Hybrid Optical Scanner/DRE,ImageCast Precinct ATI,6/1/2015,12/31/2023,Linux,ImageCastPrecinctOS 5.0,6,71,FALSE,3000,VVSG 1.0 (2005),"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is 6 based on same hardware as standard ImageCast Precinct. Scanning rate is 71 based on Dominion specs.,FALSE
25,Dominion,Remote Ballot Marking,ImageCast Remote,1/6/2014,12/31/2023,Windows 10,ImageCastRemoteOS 3.2,-1,0,FALSE,0,Not Applicable,"unencrypted data,default or weak passwords,lack of authentication,insecure physical access,lack of audit trail","Battery life is -1 because the system is remote and browser-based, not a physical device. Scanning rate is 0 because it does not scan ballots. Paper capacity is 0 because printing is done at the voter's end. Certification is Not Applicable as remote ballot marking platforms are not federally certified.",FALSE
26,ES&S,BMD,AutoMARK,1/6/2005,12/31/2020,Linux,AutoMARKOS 1.8,4,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 4 based on service manuals and field usage. Scanning rate is 0 because it does not tabulate. Paper capacity is 1 because it marks a single ballot.,FALSE
27,ES&S,BMD,ExpressVote,6/1/2014,12/31/2023,Linux,ExpressOS 4.2,8,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 8 based on ES&S hardware documentation. Scanning rate is 0 because the system does not scan ballots. Paper capacity is 1 because it produces a marked ballot.,FALSE
28,ES&S,BMD/Tabulator,ExpressVote XL,7/1/2018,12/31/2023,Linux,ExpressOS XL 5.0,6,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on power specs for the integrated BMD/tabulator system. Scanning rate is 0 because it does not scan ballots independently. Paper capacity is 1 as each session produces a single printed ballot.,FALSE
29,ES&S,Batch-Fed Optical Scanner,DS450,1/9/2017,12/31/2023,Linux,DSOS 3.1,-1,72,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is -1 because this is a high-throughput central scanner powered by AC. Scanning rate is 72 based on vendor specs.,FALSE
30,ES&S,Batch-Fed Optical Scanner,DS650,6/1/2008,12/31/2023,Linux,DSOS 2.8,-1,300,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is -1 because the device is designed for high-volume central count with direct AC power.,FALSE
31,ES&S,Batch-Fed Optical Scanner,DS850,6/1/2009,12/31/2023,Linux,DSOS 2.9,-1,300,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is -1 because this high-speed central scanner is AC-powered and not designed for portability.,FALSE
32,ES&S,Batch-Fed Optical Scanner,DS950,8/1/2022,12/31/2023,Linux,DSOS 3.5,-1,300,FALSE,3000,VVSG 2.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is -1 because this is a high-throughput central scanner that runs on AC power.,FALSE
33,ES&S,Batch-Fed Optical Scanner,Model 150,6/1/1996,12/31/2015,Linux,Model150OS 1.0,-1,100,FALSE,3000,,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is -1 because this is a legacy central scanner that operates solely on AC power. Certification is Not Applicable because it predates VVSG/EAC certification standards.,TRUE
34,ES&S,Batch-Fed Optical Scanner,Model 550,6/1/1997,12/31/2015,Linux,Model550OS 1.1,-1,120,FALSE,3000,,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is -1 because the system was AC-powered only. Certification is Not Applicable as the system predates VVSG/EAC standards.,TRUE
35,ES&S,DRE Touchscreen,ExpressTouch,7/1/2018,12/31/2023,Linux,ExpressTouchOS 3.0,6,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on documented performance of similar ES&S touchscreen units. Scanning rate is 0 because this DRE does not scan. Paper capacity is 0 because it does not print.,FALSE
36,ES&S,DRE Touchscreen,iVotronic,6/1/2002,12/31/2019,Linux,iVotronicOS 2.7,4,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,default or weak passwords,insecure physical access,lack of audit trail",Battery life is 4 based on field data for precinct-use configurations. Scanning rate is 0 because it is a DRE. Paper capacity is 0 because it does not print.,FALSE
37,ES&S,Electronic Poll Book,ExpressPoll,6/1/2014,12/31/2023,Android,ExpressPollOS 2.6,10,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,default or weak passwords,insecure physical access,lack of audit trail",Battery life is 10 based on rugged tablet hardware used in polling stations. Scanning rate is 0 because it does not scan ballots. Paper capacity is 0 as it does not print or process paper.,FALSE
38,ES&S,Hand-Fed Optical Scanner,DS200,6/1/2008,12/31/2023,Linux,DSOS 3.0,6,71,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is 6 based on field deployments and ES&S documentation. Scanning rate is 71 based on vendor technical specs.,FALSE
39,ES&S,Hand-Fed Optical Scanner,DS300,7/1/2019,12/31/2023,Linux,DSOS 3.2,6,71,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is 6 based on precinct deployment specs. Scanning rate is 71 as reported in official vendor documentation.,FALSE
40,ES&S,Hand-Fed Optical Scanner,Model 100,6/1/1996,12/31/2020,Linux,Model100OS 1.2,4,10,FALSE,3000,,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is 4 based on state deployment evaluations. Scanning rate is 10 from legacy documentation. Certification is Not Applicable as it predates VVSG standards.,TRUE
41,ES&S/Unisyn,BMD,InkaVote Plus,6/1/2003,12/31/2018,Linux,InkaVotePlusOS 1.0,4,0,TRUE,1,,"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is 4 based on precinct deployment specs. Scan rate is 0 because it does not scan. Paper capacity is 1 as it prints a marked ballot. Certification is Not Applicable because it was developed prior to federal certification requirements.,TRUE
42,ES&S/Unisyn,Hand-Fed Optical Scanner,InkaVote,6/1/2000,12/31/2018,,InkaVoteOS 1.0,-1,0,TRUE,1,,"insecure physical access,lack of authentication,lack of audit trail",Battery life is -1 because the base InkaVote device was mechanical and not powered. It functioned as a ballot marking system without electronic components.,TRUE
43,Enhanced Voting, ,Enhanced Ballot,7/1/2020,12/31/2023,Web-Based,EnhancedBallotOS 1.0,-1,0,FALSE,0,,"unencrypted data,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is -1 because the system is web-based with no dedicated hardware. Scanning rate is 0 as it does not scan. Paper capacity is 0 since the system relies on external printing.,TRUE
44,Enhanced Voting,Remote Ballot Marking,MyBallot,8/1/2020,12/31/2023,Web-Based,MyBallotOS 1.1,-1,0,FALSE,0,,"unencrypted data,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is -1 because it is a web-based application without physical hardware. Scanning rate is 0 as it does not scan ballots. Paper capacity is 0 because the system relies on external printing.,TRUE
45,Five Cedars Group,BMD,Alternate Format Ballot,6/1/2010,12/31/2023,Windows 7,FCGAltBallotOS 1.0,4,0,TRUE,1,Not Applicable,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 4 based on rugged tablet deployments. Scanning rate is 0 as it does not tabulate. Paper capacity is 1 because it marks a single ballot per session.,TRUE
46,Hand Count,Hand Count,Hand Counted Paper Ballots,1/1/1800,12/31/2024,,,-1,0,FALSE,0,Not Applicable,"insecure physical access,lack of authentication,lack of audit trail",Battery life is -1 because this is a non-electronic process. Scanning rate is 0 as ballots are counted by hand. Paper capacity is 0 because it does not involve a machine.,TRUE
47,Hart InterCivic,BMD,Verity Duo,2/1/2015,12/31/2023,Proprietary Embedded OS,VerityOS 2.3,8,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 8 based on Hart Verity system specs. Scanning rate is 0 because this BMD does not scan. Paper capacity is 1 since it prints one ballot per session.,FALSE
48,Hart InterCivic,BMD,Verity Touch Writer,3/1/2015,12/31/2023,Proprietary Embedded OS,VerityOS 2.2,8,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 8 based on precinct-use Verity hardware specifications. Scanning rate is 0 because it does not tabulate. Paper capacity is 1 because it produces a single ballot.,FALSE
49,Hart InterCivic,Batch-Fed Optical Scanner,Ballot Now,5/1/2003,12/31/2023,Windows XP,BallotNowOS 3.4,-1,72,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is -1 because it is a central count system powered by AC. Scanning rate is 72 based on vendor documentation.,FALSE
50,Hart InterCivic,Batch-Fed Optical Scanner,Verity Central,4/1/2015,12/31/2023,Windows 10,VerityOS 2.5,-1,72,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is -1 because this is a central count system that operates exclusively on AC power. Scanning rate is 72 based on certified performance reports.,FALSE
51,Hart InterCivic,DRE Dial,eSlate,6/1/2001,12/31/2019,Proprietary Embedded OS,eSlateOS 3.1,4,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 4 based on early-generation precinct deployment. Scanning rate is 0 because it is a DRE. Paper capacity is 0 because the eSlate did not use printed ballots.,TRUE
52,Hart InterCivic,DRE Touchscreen,Verity Touch,4/1/2015,12/31/2023,Proprietary Embedded OS,VerityOS 2.5,8,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 8 based on Hart touchscreen hardware documentation. Scanning rate is 0 because it does not scan ballots. Paper capacity is 0 because it does not produce a printed record.,FALSE
53,Hart InterCivic,Hand-Fed Optical Scanner,Verity Scan,4/1/2015,12/31/2023,Proprietary Embedded OS,VerityOS 2.5,8,71,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is 8 based on Verity field specifications. Scanning rate is 71 based on official Hart documentation.,FALSE
54,Hart InterCivic,Hand-Fed Optical Scanner,eScan,6/1/2003,12/31/2019,Linux,eScanOS 2.0,6,71,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is 6 based on precinct unit deployment specs. Scanning rate is 71 based on official documentation.,FALSE
55,Hart InterCivic,Hybrid Optical Scanner/DRE,eScan A/T,6/1/2008,12/31/2020,Linux,eScanATOS 2.2,6,71,TRUE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on hybrid scanner deployments. Scanning rate is 71 as per Hart specifications.,FALSE
56,IVS,BMD,Inspire Ballot Marking Device,6/1/2012,12/31/2023,Windows Embedded,InspireOS 1.3,6,0,TRUE,1,Not Applicable,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on assistive device specs. Scanning rate is 0 because this is a BMD. Paper capacity is 1 since it prints a single marked ballot.,FALSE
57,In-House,Electronic Poll Book,In-House Electronic Poll Books,1/1/2010,12/31/2023,Varies by jurisdiction,InHouseOS 1.0,-1,0,FALSE,0,Not Applicable,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is -1 because implementations vary widely and often depend on off-the-shelf tablets or laptops without standardized specs. Scan rate is 0 because it is not a tabulating device.,FALSE
58,In-House,Internet Voting,In-House Internet Voting Systems,1/1/2012,12/31/2023,Web-Based,InHouseVoteOS 1.0,-1,0,FALSE,0,Not Applicable,"unencrypted data,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is -1 because this is a web-based system with no hardware component. Scanning rate is 0 since it does not tabulate ballots. Paper capacity is 0 as all ballots are digital.,TRUE
59,In-House,Remote Ballot Marking,In-House Remote Ballot Marking Systems,1/1/2012,12/31/2023,Web-Based,InHouseRBM 1.0,-1,0,FALSE,0,Not Applicable,"unencrypted data,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is -1 because this is a web-based tool with no physical hardware. Scanning rate is 0 because it does not scan. Paper capacity is 0 as ballots are typically printed remotely.,TRUE
60,KNOWiNK,Electronic Poll Book,Poll Pad,9/1/2014,12/31/2023,iOS,PollPadOS 2.7,10,0,FALSE,0,Not Applicable,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is 10 based on Apple iPad Pro deployments with Poll Pad kit. Scan rate is 0 because this is not a tabulating device.,TRUE
61,MicroVote,DRE Push Button,Infinity,6/1/2002,12/31/2023,Proprietary Embedded OS,InfinityOS 2.0,4,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 4 based on documented MicroVote field configurations. Scanning rate is 0 as this is a DRE. Paper capacity is 0 since the device does not produce a paper trail.,TRUE
62,MicroVote,DRE Push Button,MV-464,5/1/1985,12/31/2006,,MVOS 1.0,-1,0,FALSE,0,Not Applicable,"insecure physical access,default or weak passwords,lack of audit trail",Battery life is -1 because the MV-464 was powered via AC without battery functionality. Scanning rate is 0 because it is a DRE. Paper capacity is 0 because it had no paper trail.,TRUE
63,MicroVote/Chatsworth,Hand-Fed Optical Scanner,ACP 2200,6/1/2000,12/31/2010,Unknown,ACP2200OS 1.0,-1,60,FALSE,1000,Not Applicable,"insecure physical access,lack of audit trail",Battery life is -1 because the scanner was designed for AC-powered operation with no portable or battery-powered configuration documented.,TRUE
64,Populex,BMD,Slate,6/1/2004,12/31/2010,Windows Embedded,SlateOS 1.0,6,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on portable ballot marking unit configurations. Scanning rate is 0 because it is a BMD. Paper capacity is 1 since it prints one ballot at a time.,TRUE
65,Premier Election Solutions (Diebold),Batch-Fed Optical Scanner,AccuVote OS Central,5/1/1998,12/31/2010,Windows NT,AccuVoteCentralOS 2.0,-1,60,FALSE,3000,Not Applicable,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is -1 because the central count scanner was AC-powered without battery operation. Scanning rate is 60 based on known central scanner throughput.,FALSE
66,Premier Election Solutions (Diebold),DRE Touchscreen,AccuVote TSX,5/1/2003,12/31/2010,Windows CE,TSXOS 4.6,6,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on field deployments. Scanning rate is 0 because it is a DRE. Paper capacity is 0 as it does not print ballots.,TRUE
67,Premier Election Solutions (Diebold),Hand-Fed Optical Scanner,AccuVote OS,6/1/1997,12/31/2010,Proprietary Embedded OS,AccuVoteOS 3.0,6,60,FALSE,3000,Not Applicable,"insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on precinct scanner deployments. Scanning rate is 60 based on official documentation. Paper capacity reflects standard input bins.,TRUE
68,Premier Election Solutions (Diebold),Hand-Fed Optical Scanner,AccuVote OSX,6/1/2006,12/31/2010,Proprietary Embedded OS,AccuVoteOSX 1.2,6,60,FALSE,3000,VVSG 1.0,"insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on known field deployments of OSX precinct scanners. Scanning rate is 60 per minute based on standard operating speeds.,FALSE
69,Robis,Electronic Poll Book,AskED ePollbook,8/1/2014,12/31/2023,iOS,askEDOS 2.0,10,0,FALSE,0,Not Applicable,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is 10 based on iPad configurations commonly used with the askED platform. Scanning rate is 0 because it does not tabulate.,FALSE
70,Sequoia Voting Systems,Batch-Fed Optical Scanner,Optech 400C,6/1/1999,12/31/2010,Windows NT,OptechOS 2.3,-1,60,FALSE,3000,Not Applicable,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is -1 because the Optech 400C was an AC-powered central count scanner. Scanning rate is 60 per minute based on certified specifications.,FALSE
71,Sequoia Voting Systems,DRE Push Button,AVC Advantage,3/1/1992,12/31/2007,Proprietary Embedded OS,AVCOS 1.0,-1,0,FALSE,0,Not Applicable,"insecure physical access,default or weak passwords,lack of audit trail",Battery life is -1 because this unit was AC-powered with no documented battery functionality. Scanning rate is 0 since it is a DRE. Paper capacity is 0 because it does not generate a paper record.,TRUE
72,Sequoia Voting Systems,DRE Touchscreen,AVC Edge,5/1/2000,12/31/2007,Windows CE,AVCEdgeOS 2.0,6,0,FALSE,0,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on published specs from early touchscreen deployments. Scanning rate is 0 as it's a DRE. Paper capacity is 0 since it did not generate paper records without a VVPAT add-on.,TRUE
73,Sequoia Voting Systems,Hand-Fed Optical Scanner,Optech Insight,6/1/1996,12/31/2010,Proprietary Embedded OS,OptechInsightOS 3.0,6,60,FALSE,3000,Not Applicable,"insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on field deployment specs for precinct-based use. Scanning rate is 60 per minute. Paper capacity is typical for standard input bins.,TRUE
74,Sequoia and ES&S,Hand-Fed Optical Scanner,Optech IIIP-Eagle,6/1/1995,12/31/2007,Proprietary Embedded OS,OptechEagleOS 2.5,6,60,FALSE,3000,Not Applicable,"insecure physical access,default or weak passwords,lack of audit trail",Battery life is 6 based on precinct scanner specs. Scanning rate is 60 per minute as documented in state-level evaluations. Paper capacity is based on standard ballot box configuration.,TRUE
75,Smartmatic/Los Angeles County,BMD,VSAP BMD,9/1/2019,12/31/2023,Android,VSAPOS 1.4,8,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 8 based on known VSAP deployment specs using Android tablets. Scanning rate is 0 since it is a BMD. Paper capacity is 1 as it prints a single ballot per session.,FALSE
76,Smartmatic/Los Angeles County,Batch-Fed Optical Scanner,VSAP Tally,9/1/2019,12/31/2023,Linux,VSAPTallyOS 2.0,-1,60,FALSE,3000,VVSG 1.0,"insecure physical access,default or weak passwords,lack of audit trail",Battery life is -1 because VSAP Tally is a central scanner that operates on AC power only. Scanning rate is 60 ballots per minute based on LA County technical documentation.,TRUE
77,Smartmatic/Los Angeles County,Remote Ballot Marking,VSAP Interactive Sample Ballot,9/1/2019,12/31/2023,Web-Based,ISBMarkingOS 1.0,-1,0,FALSE,0,Not Applicable,"unencrypted data,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is -1 because this is a web-based system with no hardware. Scanning rate is 0 as it does not tabulate. Paper capacity is 0 since all ballots are marked digitally by voters.,FALSE
78,Tenex,Electronic Poll Book,Precinct Central,8/1/2014,12/31/2023,iOS,PrecinctCentralOS 3.1,10,0,FALSE,0,Not Applicable,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is 10 based on iPad configurations used with the Precinct Central app. Scanning rate is 0 because it does not tabulate. Paper capacity is 0 as this is a software-based poll book.,TRUE
79,Triad Governmental Systems,Remote Ballot Marking,Accessible Ballot Marking Tool (ABMT),7/1/2016,12/31/2023,Web-Based,MIADMarkingOS 1.0,-1,0,FALSE,0,Not Applicable,"unencrypted data,insecure physical access,default or weak passwords,lack of authentication,lack of audit trail",Battery life is -1 because this is a browser-based system without dedicated hardware. Scanning rate is 0 since it does not tabulate. Paper capacity is 0 as it does not print.,FALSE
